Designator,Mid X,Mid Y,Rotation,Layer
C1,-1.24,4.82,90.0,bottom
C10,0.18,5.34,0.0,bottom
C11,-3.12735,1.095001,270.0,top
C12,-0.26,4.17,180.0,top
C13,-3.12735,-0.734999,90.0,top
C14,10.08,-8.38,270.0,bottom
C15,8.66,-5.73,0.0,bottom
C16,2.22,-7.0,180.0,top
C17,-8.355,-3.445,180.0,top
C18,-9.2,-8.37,0.0,top
C19,2.22,-6.08,0.0,top
C2,-8.45,2.59,0.0,bottom
C20,2.22,-8.86,0.0,top
C21,-6.985,-2.985,90.0,top
C22,2.22,-5.16,180.0,top
C23,2.22,-4.24,180.0,top
C24,3.56,5.13,90.0,bottom
C25,3.53,6.95,270.0,bottom
C26,-3.58,6.25,0.0,top
C27,5.5746,6.98,180.0,bottom
C28,9.1446,5.1,180.0,bottom
C29,9.1446,4.18,180.0,bottom
C3,4.92,0.3,90.0,bottom
C30,-9.05,8.64,270.0,top
C31,5.58,9.3,0.0,bottom
C32,-9.05,6.82,90.0,top
C33,-4.05,4.29,90.0,top
C34,-6.37,-1.1825,0.0,top
C35,-4.55,-1.1825,180.0,top
C36,-0.14,-17.0,180.0,bottom
C37,1.68,-16.97,0.0,bottom
C38,-0.45,-14.94,90.0,bottom
C39,1.43,-11.38,90.0,bottom
C4,4.87,-6.17,270.0,bottom
C40,2.35,-11.38,90.0,bottom
C41,-2.77,-14.94,270.0,bottom
C5,-7.35,-8.65,0.0,bottom
C6,-8.45,1.67,0.0,bottom
C7,3.87,-7.55,180.0,bottom
C8,-6.9,3.22,90.0,bottom
C9,0.18,4.37,0.0,bottom
D1,-5.16,-16.4,90.0,top
D11,-1.61,-15.2825,270.0,bottom
D12,2.64,7.81,90.0,top
D2,-6.63,-16.4,90.0,top
D3,3.35,-16.4,270.0,top
D4,1.88,-16.4,270.0,top
D5,0.41,-16.4,270.0,top
D6,-1.06,-16.4,270.0,top
D7,-2.53,-16.4,270.0,top
D8,5.24,8.14,0.0,bottom
FB1,1.87,5.39,270.0,bottom
FB2,-3.76,8.19,90.0,top
FB3,-5.99,4.11,180.0,top
H1,-15.25,15.25,0.0,top
H2,15.25,-15.25,0.0,top
H3,15.25,15.25,0.0,top
H4,-15.25,-15.25,0.0,top
J10,14.7,-4.48,90.0,top
J11,-14.7,0.75,270.0,top
J12,-16.76,0.76,270.0,bottom
J13,16.73,-4.5,90.0,bottom
J14,-7.87,16.4,0.0,top
J15,-12.3,8.65,90.0,top
J16,-16.4,8.65,90.0,top
J17,-7.87,12.3,180.0,top
J18,-0.72,15.41,180.0,top
J2,12.29,5.86,90.0,top
J20,7.91,-4.61,0.0,top
J3,8.1,-12.3,0.0,top
J4,-16.4,-8.05,270.0,top
J5,8.1,-16.4,0.0,top
J6,7.31,12.3,180.0,top
J7,8.21,16.4,180.0,top
J8,16.36,5.86,90.0,top
J9,-12.3,-8.05,270.0,top
L2,6.640129,3.155725,0.0,top
L3,8.2963,8.37,90.0,bottom
L4,-1.83,-12.2283,0.0,bottom
Q1,-15.3275,9.3,270.0,bottom
R1,0.53,12.31,90.0,bottom
R10,-8.77,10.24,90.0,bottom
R11,-15.33,6.81,0.0,bottom
R12,-0.3,6.34,0.0,bottom
R13,-0.3,7.28,0.0,bottom
R14,3.35,-13.98,90.0,top
R15,1.88,-13.98,90.0,top
R16,0.41,-13.98,90.0,top
R17,-1.06,-13.98,90.0,top
R18,-2.53,-13.98,90.0,top
R19,6.04,-8.86,0.0,bottom
R2,-2.47,12.31,90.0,bottom
R20,6.04,-7.92,0.0,bottom
R21,2.24,-7.93,0.0,top
R22,-7.36,-8.38,180.0,top
R23,2.24,-9.84,180.0,top
R24,2.24,-10.78,180.0,top
R25,2.24,-11.72,180.0,top
R26,2.24,-3.31,0.0,top
R27,3.55,3.29,270.0,bottom
R28,9.1646,6.04,0.0,bottom
R29,9.16,2.3,180.0,bottom
R3,-11.44,-3.15,270.0,bottom
R30,9.1646,3.24,0.0,bottom
R31,3.53,-16.98,180.0,bottom
R32,0.49,-11.36,270.0,bottom
R33,4.1,-13.22,270.0,bottom
R34,3.28,-11.36,270.0,bottom
R35,3.99,-6.64,90.0,top
R4,-10.5,-3.15,270.0,bottom
R5,-8.07,-14.05,270.0,top
R6,-3.96,-16.4,90.0,top
R7,-7.83,-16.4,90.0,top
R8,-2.22,4.84,90.0,bottom
R9,-6.97,10.24,90.0,bottom
SW1,-10.34,-15.52,180.0,top
U1,-2.29,-2.94,180.0,bottom
U2,-0.01735,1.005001,180.0,top
U3,8.27,-7.74,0.0,bottom
U4,10.21,-1.52,90.0,bottom
U5,-2.56,-7.2,0.0,top
U6,6.3413,4.71,0.0,bottom
U7,-6.54,7.73,0.0,top
U8,-5.46,1.3275,90.0,top
U9,1.82,-14.1833,270.0,bottom
Y1,-4.8625,4.96,180.0,bottom
Y2,-8.225,-5.905,270.0,top
